date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-02-23,6.73,6.87,6.82,6.54,57736.69,0.0,0.0,6.594,6.394,6.267,54505.84,47464.1,58437.84
2016-02-22,6.54,6.85,6.82,6.52,76268.01,0.39,6.07,6.528,6.32,6.268,50153.34,49504.88,59123.19
2016-02-19,6.41,6.5,6.43,6.3,38718.16,0.03,0.47,6.418,6.218,6.252,43235.38,49119.95,58738.99
2016-02-18,6.55,6.6,6.4,6.37,51976.28,-0.1,-1.54,6.358,6.125,6.249,42173.32,50587.44,60602.54
2016-02-17,6.41,6.64,6.5,6.34,47830.05,0.01,0.15,6.302,6.001,6.27,41826.12,52748.24,64115.07
2016-02-16,6.27,6.54,6.49,6.27,35974.18,0.22,3.51,6.194,5.921,6.291,40422.36,64872.4,66045.97
2016-02-15,5.9,6.39,6.27,5.78,41678.25,0.14,2.28,6.112,5.883,6.333,48856.42,68148.29,67973.27
2016-02-05,6.03,6.2,6.13,6.03,33407.82,0.01,0.16,6.018,5.934,6.397,55004.51,67725.31,70790.54
2016-02-04,6.01,6.35,6.12,5.96,50240.29,0.16,2.69,5.892,5.992,6.486,59001.57,68234.34,75219.9
2016-02-03,6.0,6.04,5.96,5.84,40811.28,-0.12,-1.97,5.7,6.046,6.584,63670.36,67679.66,73807.48
2016-02-02,5.8,6.17,6.08,5.8,78144.44,0.28,4.83,5.648,6.14,6.736,89322.44,69411.58,75032.43
2016-02-01,5.47,5.91,5.8,5.43,72418.71,0.3,5.46,5.654,6.216,6.876,87440.16,68741.5,76917.93
2016-01-29,5.16,5.55,5.5,5.06,53393.11,0.34,6.59,5.85,6.286,7.016,80446.11,68358.03,77659.87
2016-01-28,5.68,5.68,5.16,5.13,73584.24,-0.54,-9.47,6.092,6.373,7.219,77467.12,70617.63,77894.69
2016-01-27,6.1,6.2,5.7,5.5,169071.72,-0.41,-6.71,6.392,6.539,7.439,71688.96,75481.9,77232.59
2016-01-26,6.65,6.76,6.11,6.1,68733.0,-0.67,-9.88,6.632,6.66,7.626,49500.72,67219.53,72790.02
2016-01-25,6.78,6.92,6.78,6.72,37448.5,0.07,1.04,6.778,6.782,7.798,50042.85,67798.25,74662.25
2016-01-22,6.71,6.87,6.71,6.45,38498.14,0.05,0.75,6.722,6.859,7.959,56269.94,73855.77,75866.31
2016-01-21,6.76,6.96,6.66,6.62,44693.44,-0.24,-3.48,6.654,6.979,8.119,63768.15,82205.45,78267.6
2016-01-20,6.83,6.96,6.9,6.69,58130.54,0.06,0.88,6.686,7.122,8.293,79274.85,79935.31,79759.04
2016-01-19,6.48,6.86,6.84,6.4,71443.61,0.34,5.23,6.688,7.331,8.467,84938.34,80653.28,81104.69
2016-01-18,6.16,6.58,6.5,6.06,68583.99,0.13,2.04,6.786,7.535,8.64,85553.66,85094.36,84856.12
2016-01-15,6.7,6.8,6.37,6.28,75989.15,-0.45,-6.6,6.996,7.746,8.834,91441.61,86961.72,90285.87
2016-01-14,6.22,6.92,6.82,6.22,122226.94,-0.09,-1.3,7.304,8.064,9.007,100642.76,85171.74,92627.83
2016-01-13,7.48,7.51,6.91,6.9,86448.0,-0.42,-5.73,7.558,8.338,9.155,80595.77,78983.29,91898.5
2016-01-12,7.7,7.77,7.33,7.31,74520.2,-0.22,-2.91,7.974,8.592,9.306,76368.22,78360.52,94127.3
2016-01-11,7.8,8.1,7.55,7.5,98023.74,-0.36,-4.55,8.284,8.814,9.43,84635.06,81526.24,98484.52
2016-01-08,8.33,8.5,7.91,7.53,121994.91,-0.18,-2.23,8.496,9.058,9.55,82481.83,77876.84,107409.67
2016-01-07,8.88,8.88,8.09,8.09,21992.0,-0.9,-10.01,8.824,9.258,9.62,69700.73,74329.74,113012.1
2016-01-06,8.87,9.06,8.99,8.8,65310.24,0.11,1.24,9.118,9.464,9.657,77370.8,79582.77,116510.18
2016-01-05,8.1,9.0,8.88,8.04,115854.41,0.27,3.14,9.21,9.603,9.659,80352.82,81556.1,121879.3
2016-01-04,9.61,9.68,8.61,8.6,87257.58,-0.94,-9.84,9.344,9.744,9.66,78417.42,84617.89,120106.77
2015-12-31,9.62,9.77,9.55,9.45,58089.4,-0.01,-0.1,9.62,9.921,9.676,73271.84,93610.02,121491.22
2015-12-30,9.48,9.6,9.56,9.44,60342.38,0.11,1.16,9.692,9.95,9.639,78958.76,100083.92,122092.04
2015-12-29,9.51,9.6,9.45,9.3,80220.32,-0.1,-1.05,9.81,9.972,9.595,81794.73,104813.71,123683.02
2015-12-28,9.99,10.07,9.55,9.52,106177.41,-0.44,-4.4,9.996,10.019,9.57,82759.37,109894.08,126261.7
2015-12-25,9.95,10.15,9.99,9.83,61529.71,0.08,0.81,10.144,10.046,9.53,90818.35,115442.79,127235.65
2015-12-24,10.15,10.22,9.91,9.73,86523.99,-0.24,-2.37,10.222,10.042,9.434,113948.2,136942.51,131118.55
2015-12-23,10.4,10.45,10.15,10.12,74522.23,-0.23,-2.22,10.208,9.981,9.378,121209.09,151694.45,133327.72
2015-12-22,10.25,10.47,10.38,10.18,85043.53,0.09,0.88,10.134,9.849,9.321,127832.68,153437.59,135109.44
2015-12-21,10.25,10.5,10.29,10.1,146472.31,-0.09,-0.87,10.042,9.714,9.246,137028.78,162202.51,137619.95
2015-12-18,9.8,10.49,10.38,9.76,177178.94,0.54,5.49,9.948,9.575,9.185,140067.23,155595.65,140108.16
2015-12-17,9.78,9.99,9.84,9.74,122828.42,0.06,0.61,9.862,9.43,9.116,159936.83,149372.42,141982.24
2015-12-16,10.0,10.1,9.78,9.77,107640.19,-0.14,-1.41,9.754,9.327,9.081,182179.82,144100.16,150414.85
2015-12-15,10.0,10.31,9.92,9.87,131024.02,0.1,1.02,9.564,9.217,9.025,179042.49,142552.34,159577.93
2015-12-14,9.81,10.15,9.82,9.56,161664.59,-0.13,-1.31,9.386,9.12,8.943,187376.23,142629.32,164988.44
2015-12-11,9.29,10.18,9.95,9.11,276526.91,0.65,6.99,9.202,9.013,8.829,171124.07,139028.51,161658.46
2015-12-10,8.83,9.7,9.3,8.83,234043.39,0.47,5.32,8.998,8.826,8.697,138808.01,125294.59,153166.65
2015-12-09,8.89,9.05,8.83,8.7,91953.56,-0.2,-2.21,8.9,8.775,8.612,106020.51,114960.99,146760.25
2015-12-08,8.8,9.36,9.03,8.78,172692.72,0.13,1.46,8.87,8.793,8.555,106062.19,116781.29,147686.36
2015-12-07,8.95,8.98,8.9,8.71,80403.77,-0.03,-0.34,8.854,8.778,8.495,97882.4,113037.4,145273.51
2015-12-04,8.61,9.09,8.93,8.6,114946.61,0.12,1.36,8.824,8.794,8.44,106932.95,124620.67,147359.82
2015-12-03,8.88,8.88,8.81,8.64,70105.88,0.13,1.5,8.654,8.801,8.383,111781.17,134592.05,147754.21
2015-12-02,8.9,8.95,8.68,8.4,92161.99,-0.27,-3.02,8.65,8.834,8.324,123901.46,156729.53,154173.94
2015-12-01,8.73,9.16,8.95,8.52,131793.73,0.2,2.29,8.716,8.832,8.259,127500.38,176603.51,155799.37
2015-11-30,8.15,8.75,8.75,7.82,125656.55,0.67,8.29,8.702,8.766,8.167,128192.41,187347.56,154651.82
2015-11-27,8.85,8.98,8.08,8.0,139187.69,-0.71,-8.08,8.764,8.645,8.078,142308.38,184288.4,157587.7
2015-11-26,8.9,9.01,8.79,8.7,130707.36,-0.22,-2.44,8.948,8.567,8.029,157402.94,181038.72,158460.11
2015-11-25,9.03,9.3,9.01,8.97,110156.59,0.13,1.46,9.018,8.448,7.93,189557.6,178559.52,156756.16
2015-11-24,9.03,9.16,8.88,8.68,135253.88,-0.18,-1.99,8.948,8.317,7.81,225706.63,178591.44,156672.83
2015-11-23,9.02,9.38,9.06,8.7,196236.39,0.06,0.67,8.83,8.212,7.708,246502.7,177509.62,157078.14
2015-11-20,9.15,9.35,9.0,8.86,214660.48,-0.14,-1.53,8.526,8.085,7.583,226268.42,170098.98,153286.55
2015-11-19,8.67,9.4,9.14,8.5,291480.66,0.48,5.54,8.186,7.965,7.457,204674.5,160916.37,147425.57
2015-11-18,8.48,8.9,8.66,7.89,290901.75,0.37,4.46,7.878,7.814,7.315,167561.44,151618.36,137273.63
2015-11-17,7.86,8.29,8.29,7.79,239234.22,0.75,9.95,7.686,7.686,7.185,131476.25,134995.23,128848.88
2015-11-16,7.2,7.56,7.54,7.12,95064.98,0.24,3.29,7.594,7.567,7.1,108516.54,121956.09,121740.14
2015-11-13,7.58,7.58,7.3,7.28,106690.89,-0.3,-3.95,7.644,7.511,7.045,113929.55,130887.0,123906.64
2015-11-12,7.68,7.85,7.6,7.55,105915.37,-0.1,-1.3,7.744,7.491,7.008,117158.25,135881.5,125314.89
2015-11-11,7.74,7.88,7.7,7.63,110475.78,-0.13,-1.66,7.75,7.411,6.947,135675.27,134952.81,125447.52
2015-11-10,7.79,7.98,7.83,7.66,124435.66,0.04,0.51,7.686,7.303,6.875,138514.2,134754.22,124033.67
2015-11-09,7.74,8.08,7.79,7.56,122130.03,-0.01,-0.13,7.54,7.204,6.799,135395.64,136646.67,122494.71
2015-11-06,7.67,7.9,7.8,7.56,122834.41,0.17,2.23,7.378,7.08,6.724,147844.45,136474.12,121842.56
2015-11-05,7.4,8.1,7.63,7.4,198500.48,0.25,3.39,7.238,6.949,6.634,154604.75,133934.76,119885.21
2015-11-04,7.15,7.45,7.38,7.1,124670.43,0.28,3.94,7.072,6.815,6.544,134230.34,122928.9,112872.73
2015-11-03,6.98,7.17,7.1,6.96,108842.83,0.12,1.72,6.92,6.683,6.461,130994.23,122702.54,106665.61
2015-11-02,7.02,7.18,6.98,6.89,184374.12,-0.12,-1.69,6.868,6.632,6.388,137897.7,121524.2,102492.82
2015-10-30,6.71,7.25,7.1,6.6,156635.91,0.3,4.41,6.782,6.578,6.322,125103.79,116926.29,95635.98
2015-10-29,6.65,6.89,6.8,6.52,96628.41,0.18,2.72,6.66,6.525,6.261,113264.76,114748.28,89383.13
2015-10-28,6.75,6.94,6.62,6.51,108489.89,-0.22,-3.22,6.558,6.483,6.213,111627.45,115942.24,87861.4
2015-10-27,6.5,6.94,6.84,6.32,143360.16,0.29,4.43,6.446,6.446,6.181,114410.85,113313.13,85547.83
2015-10-26,6.57,6.69,6.55,6.44,120404.58,0.06,0.92,6.396,6.394,6.138,105150.71,108342.75,82972.27
